Player,Chmp,AP1,PB,St,From,To,CarAV,G,GS,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds
Bill Kenney\KennBi00,0,0,1,7,1980,1988,51,106,77,1330,2430,17277,105,84,86,195,1487
Stan Humphries\HumpSt00,0,0,0,6,1989,1997,50,88,81,1431,2516,17191,89,99,84,144,1182
Nick Foles\FoleNi00,1,0,1,3,2012,2020,29,63,52,1174,1890,13040,77,83,41,105,735
Jared Goff\GoffJa00,0,0,2,3,2016,2020,41,61,61,1317,2092,16009,99,94,46,114,848
Scott Mitchell\MitcSc00,0,0,0,5,1991,2001,49,99,71,1301,2346,15692,95,91,81,155,882
Elvis Grbac\GrbaEl00,1,0,1,4,1994,2001,46,105,70,1446,2445,16774,99,86,81,129,907
Gary Danielson\DaniGa00,0,0,0,4,1976,1988,48,101,60,1105,1932,13764,81,87,78,183,1446
Matt Cassel\CassMa00,0,0,1,6,2005,2018,45,107,81,1578,2683,17508,104,79,82,210,1157
Colin Kaepernick\KaepCo00,0,0,0,4,2011,2016,45,69,58,1011,1692,12271,72,80,30,171,1060
Bill Munson\MunsBi00,0,0,0,6,1964,1979,48,107,66,1070,1982,12896,84,95,80,74,535
Jason Campbell\CampJa00,0,0,0,5,2006,2014,47,90,79,1519,2518,16771,87,84,60,170,1096
Rodney Peete\PeetRo00,0,0,0,7,1989,2004,46,104,87,1344,2346,16338,76,93,92,244,1372
Carson Wentz\WentCa00,1,0,1,4,2016,2020,42,63,63,1474,2333,15951,107,73,45,157,997
Blake Bortles\BortBl00,0,0,0,5,2014,2019,44,78,73,1562,2634,17649,103,90,75,195,1158
Marcus Mariota\MariMa01,0,0,0,4,2015,2019,44,63,61,1110,1765,13207,76,75,44,155,992
Mike Tomczak\TomcMi00,1,0,0,4,1985,1999,44,185,73,1248,2337,16079,88,85,106,114,809
Sam Bradford\BradSa00,0,0,0,5,2010,2018,44,83,83,1855,2967,19449,103,80,61,196,1371
David Carr\CarrDa00,0,0,0,5,2002,2012,44,94,79,1353,2267,14452,65,81,71,267,1564
